test_type,pde,hard_rank,split,source_sample_id,historical_sample_index,subset_index,historical_rel_l2_a,historical_rel_l2_u,historical_pde_residual_norm,historical_run_dir,historical_zeta_obs_u,historical_zeta_pde,source_data_path,subset_path
id,poisson,1,tune,672,12,0,0.838400661945343,0.25980859994888306,0.04425404593348503,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-115423,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/tune/poisson_id.mat
id,poisson,2,holdout,588,8,0,0.8122544288635254,0.14795748889446259,0.045353807508945465,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-115106,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/holdout/poisson_id.mat
id,poisson,3,tune,602,2,1,0.7850970029830933,0.21099445223808289,0.041820645332336426,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-115155,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/tune/poisson_id.mat
id,poisson,4,holdout,726,6,1,0.77836012840271,0.09923793375492096,0.030063362792134285,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-115649,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/holdout/poisson_id.mat
id,poisson,5,tune,307,7,2,0.7780370116233826,0.3203977048397064,0.03424423933029175,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-113932,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/tune/poisson_id.mat
id,poisson,6,holdout,654,14,2,0.745462954044342,0.1568356156349182,0.040102891623973846,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-115334,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/holdout/poisson_id.mat
id,poisson,7,tune,222,2,3,0.7352644205093384,0.15767455101013184,0.038696713745594025,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-113613,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/tune/poisson_id.mat
id,poisson,8,holdout,866,6,3,0.7254082560539246,0.39996546506881714,0.02618568204343319,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-120234,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/holdout/poisson_id.mat
id,poisson,9,tune,46,6,4,0.7194363474845886,0.17566746473312378,0.02808748558163643,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-112845,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/tune/poisson_id.mat
id,poisson,10,holdout,55,15,4,0.71873539686203,0.1617179811000824,0.04386018216609955,outputs/MAIN1000_100_TEST_id/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260829-112845,360000000.0,0.3,/home/tat512/share/PDEdata/poisson/poisson_test_10000-128-128_id.mat,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/subsets/holdout/poisson_id.mat
