test_type,pde,n,population_mean,population_median,worst20_mean,maximum,worst20_to_population_ratio
id,poisson,1000,0.385000071,0.362575859,0.725546882,0.838400662,1.884537006
id,helmholtz,1000,0.392311131,0.369342923,0.740183663,0.851436079,1.886726131
id,darcy,1000,0.267948695,0.258551285,0.469879743,0.542002499,1.753618331
id,nsnonbounded,1000,0.511185458,0.490790173,0.933079588,1.139353991,1.825324985
smooth,poisson,1000,0.514059469,0.470147759,1.201730180,1.687944174,2.337725987
smooth,helmholtz,1000,0.523504744,0.480750889,1.166301006,1.540047288,2.227870940
smooth,darcy,1000,0.236303335,0.221271865,0.442576046,0.492199212,1.872914937
smooth,nsnonbounded,1000,0.322287678,0.306763873,0.565262875,0.689113259,1.753907809
rough,poisson,1000,0.616583550,0.617360234,0.827513462,0.860796690,1.342094615
rough,helmholtz,1000,0.630578924,0.627355188,0.849990192,0.919603467,1.347952112
rough,darcy,1000,0.432572197,0.433750644,0.575762168,0.653971732,1.331019820
rough,nsnonbounded,1000,0.747635042,0.746307909,0.919865787,0.976453602,1.230367406
